region,city,city_region,latitude,longitude,lat_lon_hdbscan_cluster_05_03,lat_lon_hdbscan_cluster_10_03,lat_lon_hdbscan_cluster_20_03,region_id,city_region_id
Ярославская область,Ярославль,Ярославль Ярославская область,57.62607440000001,39.8844709,3,2,1,27,1815
Ярославская область,Ростов,Ростов Ярославская область,57.195623,39.4131527,3,2,1,27,1345
Татарстан,Зеленодольск,Зеленодольск Татарстан,55.8516037,48.5371529,47,26,14,21,537
Калининградская область,Калининград,Калининград Калининградская область,54.7104264,20.4522144,0,0,0,7,614
Ханты-Мансийский АО,Нижневартовск,Нижневартовск Ханты-Мансийский АО,60.9431185,76.5433724,7,5,3,25,1008
Татарстан,Нижнекамск,Нижнекамск Татарстан,55.613196,51.8469974,55,33,18,21,1009
Владимирская область,Муром,Муром Владимирская область,55.5673975,42.0165852,3,2,1,3,974
Тюменская область,Тюмень,Тюмень Тюменская область,57.1612975,65.5250172,41,24,13,23,1625
Красноярский край,Канск,Канск Красноярский край,56.2168141,95.71981459999999,-1,9,6,10,641
Удмуртия,Ижевск,Ижевск Удмуртия,56.86186009999999,53.2324284,53,31,18,24,565
Саратовская область,Энгельс,Энгельс Саратовская область,51.4753297,46.1136773,28,15,-1,18,1781
Алтайский край,Бийск,Бийск Алтайский край,52.5072747,85.14720040000002,22,12,8,0,178
Иркутская область,Братск,Братск Иркутская область,56.17376609999999,101.6038977,-1,-1,-1,6,241
Иркутская область,Иркутск,Иркутск Иркутская область,52.28697409999999,104.3050183,4,3,2,6,585
Ханты-Мансийский АО,Сургут,Сургут Ханты-Мансийский АО,61.25595029999999,73.38454709999999,6,5,3,25,1523
Омская область,Омск,Омск Омская область,54.9884804,73.3242361,12,8,5,13,1156
Краснодарский край,Петровская,Петровская Краснодарский край,45.4248831,37.9475755,46,41,9,9,1222
Красноярский край,Минусинск,Минусинск Красноярский край,53.6978211,91.6963172,11,7,-1,10,946
Краснодарский край,Каневская,Каневская Краснодарский край,46.0759139,38.9671101,46,41,9,9,639
Волгоградская область,Волжский,Волжский Волгоградская область,48.8176494,44.7707294,31,17,-1,4,329
Башкортостан,Уфа,Уфа Башкортостан,54.7387621,55.9720554,50,28,16,1,1675
Ставропольский край,Минеральные Воды,Минеральные Воды Ставропольский край,44.211675,43.1238527,46,39,9,20,945
Кемеровская область,Юрга,Юрга Кемеровская область,55.7297643,84.89445189999999,-1,11,7,8,1795
Калининградская область,Гусев,Гусев Калининградская область,54.5890504,22.2032977,0,0,0,7,423
Волгоградская область,Калач-на-Дону,Калач-на-Дону Волгоградская область,48.6857119,43.5271494,31,17,-1,4,611
Красноярский край,Ачинск,Ачинск Красноярский край,56.2360841,90.4903153,15,9,6,10,98
Пермский край,Краснокамск,Краснокамск Пермский край,58.0789548,55.7671866,43,23,12,15,758
Свердловская область,Арамиль,Арамиль Свердловская область,56.6964517,60.8330254,65,38,21,19,65
Ханты-Мансийский АО,Нефтеюганск,Нефтеюганск Ханты-Мансийский АО,61.09806409999999,72.5816466,6,5,3,25,1005
Владимирская область,Ковров,Ковров Владимирская область,56.356769,41.3226311,3,2,1,3,697
Нижегородская область,Сосновское,Сосновское Нижегородская область,55.80087520000001,43.16545,3,2,1,11,1463
Ставропольский край,Дивное,Дивное Ставропольский край,45.9083255,43.3463805,-1,-1,-1,20,443
Челябинская область,Троицк,Троицк Челябинская область,54.0747574,61.5670509,-1,-1,-1,26,1598
Татарстан,Альметьевск,Альметьевск Татарстан,54.8937128,52.317293,55,33,18,21,51
Тульская область,Кимовск,Кимовск Тульская область,53.9704765,38.5401265,9,6,4,22,677
Иркутская область,Тайшет,Тайшет Иркутская область,55.9321466,98.0105748,-1,9,6,6,1544
Краснодарский край,Ильский,Ильский Краснодарский край,44.8442562,38.5624476,46,41,9,9,576
Ростовская область,Миллерово,Миллерово Ростовская область,48.9182677,40.4050284,-1,-1,9,16,942
Воронежская область,Давыдовка,Давыдовка Воронежская область,51.1558928,39.4299604,38,22,11,5,427
Ростовская область,Гуково,Гуково Ростовская область,48.0513115,39.9377047,46,-1,9,16,419
Волгоградская область,Кумылженская,Кумылженская Волгоградская область,49.8852321,42.5959232,-1,-1,-1,4,814
Оренбургская область,Октябрьское,Октябрьское Оренбургская область,52.3479645,55.5061341,49,27,15,14,1148
Белгородская область,Грайворон,Грайворон Белгородская область,50.4779822,35.67924320000001,35,20,10,2,402
Алтайский край,Барнаул,Барнаул Алтайский край,53.3547792,83.7697833,26,13,8,0,129
Ханты-Мансийский АО,Мегион,Мегион Ханты-Мансийский АО,61.03743129999999,76.0997981,7,5,3,25,922
Алтайский край,Рубцовск,Рубцовск Алтайский край,51.5140399,81.2317683,-1,-1,-1,0,1351
Свердловская область,Первоуральск,Первоуральск Свердловская область,56.8999158,59.9521128,65,38,21,19,1204
Удмуртия,Глазов,Глазов Удмуртия,58.1368837,52.6548341,-1,-1,-1,24,374
Новосибирская область,Искитим,Искитим Новосибирская область,54.642619,83.3083003,27,14,8,12,591
Тульская область,Тула,Тула Тульская область,54.204836,37.6184915,9,6,4,22,1609
Ставропольский край,Константиновское,Константиновское Ставропольский край,45.299318,42.634626,46,43,9,20,718
Краснодарский край,Славянск-на-Кубани,Славянск-на-Кубани Краснодарский край,45.2588008,38.124859,46,41,9,9,1429
Башкортостан,Салават,Салават Башкортостан,53.38604369999999,55.9259472,48,27,15,1,1366
Свердловская область,Нижний Тагил,Нижний Тагил Свердловская область,57.9214912,59.9816185,60,37,21,19,1019
Волгоградская область,Михайловка,Михайловка Волгоградская область,50.0564141,43.2285897,-1,-1,-1,4,952
Кемеровская область,Кемерово,Кемерово Кемеровская область,55.3450231,86.0623044,-1,11,7,8,670
Ростовская область,Каменск-Шахтинский,Каменск-Шахтинский Ростовская область,48.3141177,40.2689543,46,40,9,16,628
Татарстан,Азнакаево,Азнакаево Татарстан,54.8586973,53.0719188,55,33,18,21,16
Свердловская область,Верхняя Пышма,Верхняя Пышма Свердловская область,56.9664827,60.5864162,65,38,21,19,302
Кемеровская область,Березовский,Березовский Кемеровская область,55.61478409999999,86.2584691,-1,11,7,8,167
Краснодарский край,Новороссийск,Новороссийск Краснодарский край,44.7154014,37.7619669,46,41,9,9,1086
Ставропольский край,Кисловодск,Кисловодск Ставропольский край,43.90560139999999,42.72809489999999,46,39,9,20,688
Омская область,Марьяновка,Марьяновка Омская область,54.9608582,72.63922409999999,12,8,5,13,913
Пермский край,Кунгур,Кунгур Пермский край,57.43164100000001,56.9397122,40,23,12,15,816
Свердловская область,Березовский,Березовский Свердловская область,56.90887859999999,60.7950057,65,38,21,19,168
Ростовская область,Новочеркасск,Новочеркасск Ростовская область,47.4177687,40.0726784,46,40,9,16,1105
Нижегородская область,Арзамас,Арзамас Нижегородская область,55.39646090000001,43.8299175,3,2,1,11,68
Белгородская область,Старый Оскол,Старый Оскол Белгородская область,51.2980824,37.8379593,37,21,11,2,1500
Свердловская область,Каменск-Уральский,Каменск-Уральский Свердловская область,56.4253389,61.9222979,-1,-1,-1,19,627
Ставропольский край,Ессентуки,Ессентуки Ставропольский край,44.0455121,42.8575232,46,39,9,20,498
Ярославская область,Рыбинск,Рыбинск Ярославская область,58.057486,38.8116968,3,2,1,27,1357
Пермский край,Березники,Березники Пермский край,59.41318270000001,56.7849318,34,19,-1,15,162
Саратовская область,Балаково,Балаково Саратовская область,52.0245587,47.7806627,28,15,-1,18,117
Краснодарский край,Кропоткин,Кропоткин Краснодарский край,45.4296049,40.5540352,46,44,9,9,787
Самарская область,Похвистнево,Похвистнево Самарская область,53.6482058,52.1229541,-1,-1,18,17,1271
Нижегородская область,Дзержинск,Дзержинск Нижегородская область,56.2440992,43.4351805,3,2,1,11,439
Свердловская область,Серов,Серов Свердловская область,59.6104645,60.6177432,18,10,-1,19,1417
Ярославская область,Переславль-Залесский,Переславль-Залесский Ярославская область,56.747048,38.8902603,3,2,1,27,1211
Волгоградская область,Камышин,Камышин Волгоградская область,50.0946344,45.3939821,30,16,-1,4,633
Челябинская область,Верхний Уфалей,Верхний Уфалей Челябинская область,56.0589027,60.2238679,-1,-1,-1,26,301
Владимирская область,Гусь-Хрустальный,Гусь-Хрустальный Владимирская область,55.6062836,40.6563727,3,2,1,3,425
Калининградская область,Советск,Советск Калининградская область,55.0788538,21.8787067,0,0,0,7,1438
Белгородская область,Губкин,Губкин Белгородская область,51.2824173,37.5434951,37,21,11,2,417
Ставропольский край,Георгиевск,Георгиевск Ставропольский край,44.1497667,43.4577689,46,39,9,20,369
Нижегородская область,Богородск,Богородск Нижегородская область,56.1037285,43.5174444,3,2,1,11,197
Нижегородская область,Володарск,Володарск Нижегородская область,56.2254693,43.1829627,3,2,1,11,332
Ростовская область,Целина,Целина Ростовская область,46.5331763,41.0176303,46,-1,9,16,1700
Свердловская область,Невьянск,Невьянск Свердловская область,57.4902781,60.2120861,60,37,21,19,992
Самарская область,Сызрань,Сызрань Самарская область,53.1504504,48.397896,57,35,19,17,1531
Краснодарский край,Горячий Ключ,Горячий Ключ Краснодарский край,44.63538399999999,39.1351191,46,-1,9,9,398
Иркутская область,Усть-Илимск,Усть-Илимск Иркутская область,57.9845406,102.7395955,2,1,-1,6,1662
Краснодарский край,Геленджик,Геленджик Краснодарский край,44.5918615,38.0241663,46,-1,9,9,367
Ставропольский край,Донское,Донское Ставропольский край,45.4563703,41.9747573,46,43,9,20,457
Краснодарский край,Анапа,Анапа Краснодарский край,44.8857008,37.3199192,46,41,9,9,52
Башкортостан,Мелеуз,Мелеуз Башкортостан,52.96109089999999,55.92835359999999,48,27,15,1,932
Оренбургская область,Бузулук,Бузулук Оренбургская область,52.7732825,52.2613248,52,-1,19,14,252
Ставропольский край,Ставрополь,Ставрополь Ставропольский край,45.0454764,41.9683431,46,43,9,20,1477
Челябинская область,Копейск,Копейск Челябинская область,55.1339695,61.6457637,61,30,20,26,720
Краснодарский край,Тбилисская,Тбилисская Краснодарский край,45.3624114,40.1854447,46,-1,9,9,1561
Краснодарский край,Абинск,Абинск Краснодарский край,44.8715341,38.1644617,46,41,9,9,3
Краснодарский край,Кореновск,Кореновск Краснодарский край,45.4623876,39.4481096,46,41,9,9,721
Тульская область,Новомосковск,Новомосковск Тульская область,54.0109034,38.2963063,9,6,4,22,1075
Челябинская область,Златоуст,Златоуст Челябинская область,55.1558787,59.6858853,62,30,20,26,545
Челябинская область,Карталы,Карталы Челябинская область,53.0553987,60.63737810000001,20,-1,-1,26,657
Ростовская область,Азов,Азов Ростовская область,47.09474460000001,39.4136552,46,40,9,16,17
Иркутская область,Ангарск,Ангарск Иркутская область,52.5155702,103.91716,4,3,2,6,55
Алтайский край,Новоалтайск,Новоалтайск Алтайский край,53.44157209999999,83.92083509999999,26,13,8,0,1045
Самарская область,Богатое,Богатое Самарская область,53.0609128,51.3406537,58,36,19,17,192
Красноярский край,Козулька,Козулька Красноярский край,56.1621934,91.3939075,-1,9,6,10,702
Татарстан,Бугульма,Бугульма Татарстан,54.5220314,52.8260805,55,33,18,21,248
Волгоградская область,Котово,Котово Волгоградская область,50.3154621,44.8019549,29,16,-1,4,729
Свердловская область,Бисерть,Бисерть Свердловская область,56.85205999999999,59.0476359,-1,-1,21,19,183
Удмуртия,Якшур-Бодья,Якшур-Бодья Удмуртия,57.18585969999999,53.16387229999999,53,31,18,24,1807
Башкортостан,Дюртюли,Дюртюли Башкортостан,55.4787765,54.86192690000001,51,29,17,1,472
Ростовская область,Таганрог,Таганрог Ростовская область,47.2416334,38.8676013,46,40,9,16,1539
Красноярский край,Норильск,Норильск Красноярский край,69.35579,88.1892939,1,-1,-1,10,1118
Пермский край,Соликамск,Соликамск Пермский край,59.6720331,56.7557669,34,19,-1,15,1452
Ставропольский край,Суворовская,Суворовская Ставропольский край,44.1940605,42.6444213,46,39,9,20,1515
Тюменская область,Тобольск,Тобольск Тюменская область,58.200024,68.26352279999999,10,-1,-1,23,1583
Удмуртия,Воткинск,Воткинск Удмуртия,57.04094420000001,53.9769303,51,29,17,24,347
Оренбургская область,Новотроицк,Новотроицк Оренбургская область,51.20110469999999,58.2987542,21,-1,-1,14,1096
Пермский край,Суксун,Суксун Пермский край,57.1392071,57.39614839999999,40,23,12,15,1519
Нижегородская область,Семенов,Семенов Нижегородская область,56.78894810000001,44.50183180000001,3,2,1,11,1405
Пермский край,Полазна,Полазна Пермский край,58.3005959,56.4173346,43,23,12,15,1260
Кемеровская область,Анжеро-Судженск,Анжеро-Судженск Кемеровская область,56.0954566,85.9955088,-1,11,7,8,59
Иркутская область,Шелехов,Шелехов Иркутская область,52.2075403,104.0988309,4,3,2,6,1766
Ростовская область,Волгодонск,Волгодонск Ростовская область,47.5060474,42.1794336,-1,-1,9,16,328
Башкортостан,Нефтекамск,Нефтекамск Башкортостан,56.1026081,54.2867394,51,29,17,1,1003
Челябинская область,Чебаркуль,Чебаркуль Челябинская область,54.9810702,60.3856171,62,30,20,26,1712
Ставропольский край,Летняя Ставка,Летняя Ставка Ставропольский край,45.42804,43.4470057,-1,-1,9,20,862
Белгородская область,Строитель,Строитель Белгородская область,50.7877715,36.4807425,35,20,10,2,1510
Ставропольский край,Невинномысск,Невинномысск Ставропольский край,44.638015,41.9504639,46,44,9,20,991
Ярославская область,Углич,Углич Ярославская область,57.52478960000001,38.3308361,3,2,1,27,1633
Красноярский край,Железногорск,Железногорск Красноярский край,56.2343557,93.4888156,17,9,6,10,504
Челябинская область,Миасс,Миасс Челябинская область,55.05067949999999,60.10349609999999,-1,-1,-1,26,940
Краснодарский край,Кущевская,Кущевская Краснодарский край,46.5545352,39.6116637,46,40,9,9,833
Оренбургская область,Тоцкое,Тоцкое Оренбургская область,52.5220074,52.744454,52,-1,19,14,1596
Саратовская область,Маркс,Маркс Саратовская область,51.71061210000001,46.7484815,28,15,-1,18,910
Тульская область,Алексин,Алексин Тульская область,54.5072013,37.0013226,9,6,4,22,46
Ростовская область,Красный Сулин,Красный Сулин Ростовская область,47.8880832,40.0676766,46,40,9,16,779
Татарстан,Елабуга,Елабуга Татарстан,55.763166,52.0254936,55,33,18,21,479
Нижегородская область,Кстово,Кстово Нижегородская область,56.1328851,44.1740097,3,2,1,11,794
Ставропольский край,Изобильный,Изобильный Ставропольский край,45.3700566,41.7106844,46,43,9,20,568
Краснодарский край,Варениковская,Варениковская Краснодарский край,45.1158643,37.648293,46,41,9,9,270
Башкортостан,Октябрьский,Октябрьский Башкортостан,54.4772015,53.4895394,56,34,18,1,1141
Башкортостан,Чекмагуш,Чекмагуш Башкортостан,55.13939809999999,54.6406219,51,29,17,1,1715
Нижегородская область,Выкса,Выкса Нижегородская область,55.32621460000001,42.17017,3,2,1,11,350
Нижегородская область,Городец,Городец Нижегородская область,56.6499552,43.4800896,3,2,1,11,391
Самарская область,Новокуйбышевск,Новокуйбышевск Самарская область,53.0960666,49.8912888,58,36,19,17,1068
Красноярский край,Талнах,Талнах Красноярский край,69.5,88.39999999999999,1,-1,-1,10,1547
Белгородская область,Валуйки,Валуйки Белгородская область,50.2025736,38.1180528,37,21,11,2,269
Челябинская область,Катав-Ивановск,Катав-Ивановск Челябинская область,54.7640685,58.2152026,59,30,20,26,660
Свердловская область,Асбест,Асбест Свердловская область,57.0052568,61.4580959,64,38,21,19,85
Нижегородская область,Бор,Бор Нижегородская область,56.3588296,44.0766797,3,2,1,11,230
Алтайский край,Белокуриха,Белокуриха Алтайский край,51.9948245,84.99355609999999,22,12,8,0,148
Пермский край,Губаха,Губаха Пермский край,58.8389476,57.5544262,34,19,-1,15,416
Свердловская область,Монетный,Монетный Свердловская область,57.0577768,60.8827986,65,38,21,19,961
Башкортостан,Ишимбай,Ишимбай Башкортостан,53.42635809999999,56.05076709999999,48,27,15,1,596
Владимирская область,Гороховец,Гороховец Владимирская область,56.19615409999999,42.6953497,3,2,1,3,395
Кемеровская область,Мыски,Мыски Кемеровская область,53.7113802,87.80220229999999,24,11,7,8,979
Тюменская область,Ишим,Ишим Тюменская область,56.1146308,69.4771245,13,-1,-1,23,595
Краснодарский край,Павловская,Павловская Краснодарский край,46.13596829999999,39.7878804,46,44,9,9,1185
Самарская область,Чапаевск,Чапаевск Самарская область,52.9696663,49.7067317,58,36,19,17,1709
Ханты-Мансийский АО,Урай,Урай Ханты-Мансийский АО,60.12543359999999,64.8066207,-1,-1,-1,25,1648
Ставропольский край,Иноземцево кп,Иноземцево кп Ставропольский край,44.0967579,43.0945683,46,39,9,20,579
Ставропольский край,Пятигорск,Пятигорск Ставропольский край,44.04989330000001,43.039636,46,39,9,20,1310
Омская область,Калачинск,Калачинск Омская область,55.0323877,74.5697422,12,8,5,13,612
Новосибирская область,Карасук,Карасук Новосибирская область,53.7342942,78.00241009999999,-1,-1,-1,12,651
Краснодарский край,Архипо-Осиповка,Архипо-Осиповка Краснодарский край,44.3716397,38.5346737,39,-1,9,9,83
Кемеровская область,Прокопьевск,Прокопьевск Кемеровская область,53.88875299999999,86.7591829,24,11,7,8,1297
Краснодарский край,Темрюк,Темрюк Краснодарский край,45.2710009,37.382298,46,41,9,9,1568
Ростовская область,Егорлыкская,Егорлыкская Ростовская область,46.5638092,40.6527213,-1,-1,9,16,475
Челябинская область,Озерск,Озерск Челябинская область,55.71381,60.7009592,63,38,21,26,1136
Краснодарский край,Ейск,Ейск Краснодарский край,46.6825784,38.2702941,-1,-1,9,9,476
Ростовская область,Жирнов,Жирнов Ростовская область,48.175694,41.1332358,44,-1,9,16,509
Калининградская область,Гурьевск,Гурьевск Калининградская область,54.7801208,20.6099047,0,0,0,7,421
Владимирская область,Петушки,Петушки Владимирская область,55.9251242,39.4489055,3,2,1,3,1227
Тульская область,Щекино,Щекино Тульская область,53.9990575,37.5096339,9,6,4,22,1778
Красноярский край,Сухобузимское,Сухобузимское Красноярский край,56.495472,93.2782749,17,9,6,10,1528
Краснодарский край,Черноморский,Черноморский Краснодарский край,44.8526321,38.4927165,46,41,9,9,1731
Удмуртия,Игра,Игра Удмуртия,57.54213790000001,53.0694129,-1,-1,-1,24,562
Оренбургская область,Сорочинск,Сорочинск Оренбургская область,52.4243319,53.15570109999999,-1,-1,-1,14,1461
Саратовская область,Вольск,Вольск Саратовская область,52.0497081,47.3692265,-1,-1,-1,18,337
Самарская область,Курумоч,Курумоч Самарская область,53.4880872,50.0350563,58,36,19,17,825
Краснодарский край,Тихорецк,Тихорецк Краснодарский край,45.8676515,40.105095,46,44,9,9,1581
Нижегородская область,Павлово,Павлово Нижегородская область,55.962069,43.0911692,3,2,1,11,1182
Ростовская область,Грушевская,Грушевская Ростовская область,47.4387256,39.9538305,46,40,9,16,415
Кемеровская область,Белово,Белово Кемеровская область,54.4102969,86.2936947,25,11,7,8,145
Татарстан,Лениногорск,Лениногорск Татарстан,54.60130239999999,52.46071269999999,55,33,18,21,852
Белгородская область,Шебекино,Шебекино Белгородская область,50.4118663,36.8947618,35,20,10,2,1763
Ростовская область,Белая Калитва,Белая Калитва Ростовская область,48.1773148,40.7795085,44,-1,9,16,141
Самарская область,Рощинский,Рощинский Самарская область,53.05145510000001,50.4926249,58,36,19,17,1349
Иркутская область,Усолье-Сибирское,Усолье-Сибирское Иркутская область,52.7664236,103.6381711,4,3,2,6,1657
Воронежская область,Борисоглебск,Борисоглебск Воронежская область,51.3760702,42.0735155,36,-1,11,5,233
Иркутская область,Саянск,Саянск Иркутская область,54.1065069,102.1888502,4,3,2,6,1383
Краснодарский край,Гулькевичи,Гулькевичи Краснодарский край,45.3605521,40.7019416,46,44,9,9,420
Красноярский край,Сосновоборск,Сосновоборск Красноярский край,56.12315299999999,93.3400796,17,9,6,10,1462
Саратовская область,Балашов,Балашов Саратовская область,51.543181,43.1770959,-1,-1,-1,18,122
Краснодарский край,Крымск,Крымск Краснодарский край,44.9277854,37.9932126,46,41,9,9,793
Челябинская область,Южноуральск,Южноуральск Челябинская область,54.44206459999999,61.2606289,61,30,20,26,1789
Челябинская область,Кыштым,Кыштым Челябинская область,55.7174713,60.55212679999999,63,38,21,26,837
Пермский край,Лобаново,Лобаново Пермский край,57.863214,56.2866875,43,23,12,15,870
Волгоградская область,Урюпинск,Урюпинск Волгоградская область,50.7974183,42.0056002,36,-1,11,4,1654
Ставропольский край,Михайловск,Михайловск Ставропольский край,45.128744,42.00923179999999,46,43,9,20,955
Владимирская область,Александров,Александров Владимирская область,56.3947309,38.712037,3,2,1,3,32
Алтайский край,Шипуново,Шипуново Алтайский край,52.2255171,82.2690835,23,-1,8,0,1773
Ставропольский край,Левокумское,Левокумское Ставропольский край,44.8192457,44.6635545,45,25,9,20,849
Краснодарский край,Ильинская,Ильинская Краснодарский край,45.7224425,40.7249941,46,-1,9,9,574
Кемеровская область,Междуреченск,Междуреченск Кемеровская область,53.68363009999999,88.0813924,-1,11,7,8,926
Краснодарский край,Усть-Лабинск,Усть-Лабинск Краснодарский край,45.2159241,39.6906891,46,41,9,9,1670
Татарстан,Мензелинск,Мензелинск Татарстан,55.7246469,53.10631859999999,-1,-1,-1,21,937
Пермский край,Лысьва,Лысьва Пермский край,58.1072052,57.7888508,34,19,-1,15,883
Пермский край,Оса,Оса Пермский край,57.2840834,55.45432460000001,43,23,12,15,1168
Саратовская область,Ершов,Ершов Саратовская область,51.3493959,48.27618,-1,-1,-1,18,497
Кемеровская область,Киселевск,Киселевск Кемеровская область,54.0055243,86.64975799999999,25,11,7,8,687
Тульская область,Киреевск,Киреевск Тульская область,53.93546480000001,37.9256207,9,6,4,22,681
Свердловская область,Ревда,Ревда Свердловская область,56.81884969999999,59.9036397,65,38,21,19,1327
Оренбургская область,Орск,Орск Оренбургская область,51.2145242,58.5440565,21,-1,-1,14,1166
Свердловская область,Полевской,Полевской Свердловская область,56.4824818,60.2446478,-1,38,21,19,1261
Тульская область,Узловая,Узловая Тульская область,53.9789964,38.1666833,9,6,4,22,1638
Воронежская область,Россошь,Россошь Воронежская область,50.2023315,39.5884892,38,22,11,5,1344
Алтайский край,Троицкое,Троицкое Алтайский край,52.98089909999999,84.68183370000001,22,12,8,0,1602
Кемеровская область,Ленинск-Кузнецкий,Ленинск-Кузнецкий Кемеровская область,54.6699128,86.17345379999999,25,11,7,8,854
Владимирская область,Кольчугино,Кольчугино Владимирская область,56.2983854,39.3701415,3,2,1,3,708
Свердловская область,Лесной,Лесной Свердловская область,58.63331520000001,59.7832579,60,37,21,19,858
Свердловская область,Краснотурьинск,Краснотурьинск Свердловская область,59.76506180000001,60.21588339999999,18,10,-1,19,765
Красноярский край,Саянский,Саянский Красноярский край,55.561372,94.7255497,16,9,6,10,1384
Белгородская область,Алексеевка,Алексеевка Белгородская область,50.6256541,38.6978113,37,21,11,2,40
Челябинская область,Юрюзань,Юрюзань Челябинская область,54.8585618,58.42443159999999,59,30,20,26,1801
Нижегородская область,Заволжье,Заволжье Нижегородская область,56.6415848,43.4029059,3,2,1,11,516
Ставропольский край,Нефтекумск,Нефтекумск Ставропольский край,44.7503541,44.9884168,45,25,9,20,1004
Краснодарский край,Новокорсунская,Новокорсунская Краснодарский край,45.6408723,39.1509041,46,41,9,9,1065
Тюменская область,Голышманово,Голышманово Тюменская область,56.4661404,68.6021557,-1,-1,-1,23,381
Ставропольский край,Безопасное,Безопасное Ставропольский край,45.63859069999999,41.9501663,46,-1,9,20,138
Ростовская область,Зверево,Зверево Ростовская область,48.0219241,40.1207574,46,40,9,16,532
Иркутская область,Средний,Средний Иркутская область,52.88333300000001,103.5000001,4,3,2,6,1473
Пермский край,Чайковский,Чайковский Пермский край,56.766116,54.1276713,51,29,17,15,1706
Нижегородская область,Гагино,Гагино Нижегородская область,55.2285836,45.0224032,3,2,1,11,359
Краснодарский край,Северская,Северская Краснодарский край,44.8528767,38.6770065,46,41,9,9,1402
Башкортостан,Белорецк,Белорецк Башкортостан,53.9673992,58.40606390000001,32,18,-1,1,149
Краснодарский край,Ленинградская,Ленинградская Краснодарский край,46.32668959999999,39.3809007,46,-1,9,9,851
Калининградская область,Багратионовск,Багратионовск Калининградская область,54.384104,20.6466037,0,0,0,7,106
Ростовская область,Новошахтинск,Новошахтинск Ростовская область,47.7568793,39.9357686,46,-1,9,16,1107
Волгоградская область,Клетская,Клетская Волгоградская область,49.3069277,43.0542141,-1,-1,-1,4,691
Воронежская область,Лиски,Лиски Воронежская область,50.979677,39.4941294,38,22,11,5,868
